	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	serum_pos_ab_zip	serum_pos_aw_zip	maxint	mean1	sd1	mean2	sd2	10102016-012	10102016-016	10102016-020	10102016-027	10102016-033	10102016-035	10102016-039	10102016-040	10102016-041	10102016-046	10102016-057	10102016-066	10102016-067	10102016-070	10102016-014	10102016-015	10102016-018	10102016-019	10102016-036	10102016-037	10102016-038	10102016-045	10102016-050	10102016-054	10102016-056	10102016-059	10102016-063	10102016-072	isotopes	adduct	pcgroup
1	M788T6	1.29247976177707	-0.370141690356492	-2.66616280129033	0.0130214864430005	1	DOWN	787.606650957265	787.603578428761	787.609269114608	5.77579983666667	5.75564985666667	5.83189988333333	34	14	14	6194.53125	16455.2720610322	3743.31988687543	12731.5510444878	3646.47174935677	23619.2980289243	16243.2080789422	16460.185630526	19916.4337357142	15058.3283492296	14446.4572001298	9684.7018110757	17114.1718059383	15377.0752531889	10033.4159558692	16333.9658341915	21091.1250957339	17012.7912245723	17982.6508504151	19216.1936153846	10294.0699066833	17438.6341333781	12900.4497441721	13700.3928489106	6857.30995135575	10997.0938549775	15746.6624338284	10095.955555919	15142.3704051927	6994.62124979977	14318.4684696581	14075.370311763	10464.1221418067	[17][M+1]+		3
2	M784T5	1.23440092946689	-0.303811053327809	-2.39453686331814	0.0242301453762002	1	DOWN	783.575039668554	783.571011982944	783.57962127656	5.38726643333333	5.29201663333333	5.41316651666667	41	14	13	4347.04296875	12028.1956716917	2653.58243760533	9744.15636327041	2386.67821095627	5792.75021411712	11956.700936004	14601.0689484154	13361.7434273019	11085.0715764249	11028.3580106023	8786.8995530079	10870.2940252124	12458.2452627483	13523.8715053853	10312.1837661026	14106.5779284985	15290.876398416	15220.0978514479	8351.30172391094	10654.1980946993	8955.54865570175	12685.8452608003	12840.2248789804	10136.3161531634	7895.41127680267	10134.0016973805	7808.52683880018	11664.2101695492	13216.1440018292	5641.05142758641	6253.7089037378	10181.7000028438	[15][M+1]+		11
3	M787T6	1.16803158652875	-0.2240792888688	-2.25278985858051	0.0335260581337784	1	DOWN	786.602960982168	786.600897856589	786.606129399129	5.77579983666667	5.76023322333333	5.84370016	32	14	14	13210.2265625	35213.4815839925	5132.32916799789	30147.7134609372	6667.08879373817	45498.7436235057	32455.5783731798	33505.3150837261	36673.4553957272	31979.1866638914	27403.713125017	36025.5341325915	35245.4824120901	30323.9622097615	31928.111024985	31309.573367041	44445.4316804278	38286.0555085815	37908.5995753692	43731.1364654118	39055.0715288431	35914.0525780438	27402.2710025626	28545.1364856112	21205.1748530064	20618.2494172477	30984.3721852508	28185.8725892676	33841.4683015782	32550.5340366053	29358.5045505723	29146.6249412038	21529.5195179156	[17][M]+		3
4	M709T6	1.12992885222483	-0.176231933902476	-1.98534532166874	0.0584748416321199	1	DOWN	708.512520268623	708.510786088817	708.513429909538	5.91698315166667	5.90581663333333	5.93038331333333	16	9	7	653.2119140625	2076.57000503192	273.809869405468	1837.78828281369	357.132424530976	2384.68537047091	2266.90692488501	1556.10330981903	1822.58278134492	2226.24333278457	1764.161140882	1932.63853144935	2102.31038426731	2172.73773232789	2370.26737869002	1988.86494912951	1825.76690473097	2520.1349839662	2138.57634569919	2228.08155632996	1519.04516946194	1460.07802686506	1584.63409011811	1488.64695656938	2564.19443361276	1332.81317111887	2143.20528481195	1618.96726238427	2149.70218687345	1830.79415677234	2052.85125162034	1828.85004349879	1927.17236935446			42
5	M789T6	1.27677246557684	0.352501444357671	1.9794790576698	0.0616923670004708	1	UP	788.619348090687	788.616114671799	788.621786357032	6.1366669	6.10609988	6.17395010666667	29	14	14	5848.75390625	10122.1813423034	2518.33629436783	12923.7224294286	4658.40174298693	8458.95357072123	8530.2826577813	8087.77693967024	10594.9643040083	11199.1047656401	15795.7311789332	7986.10286126513	8939.70025495515	10616.9681709738	8238.02819290194	8744.32363303436	13121.6738446607	7688.57100322058	13708.3574144821	9629.42968352368	18283.5471125817	19714.1885170047	22388.3433159397	11870.621390909	10710.1371680668	12725.8201444421	9412.12111291404	13566.8038830166	9008.77338156296	7696.71474113474	8494.69250750363	10213.4510633068	17217.4699900946	[19][M]+		15
6	M189T2	1.07919019467542	-0.109949145395284	-1.68238915980457	0.105515550470113	1	DOWN	189.069262698012	189.0683848536	189.070502993683	2.36146672333333	2.35455011333333	2.37244989	28	14	14	4014.240234375	7249.91146202578	701.692319916769	6717.91821107705	952.62624680436	7963.11020307411	8357.91185514885	6457.59185708921	6801.13399397265	7003.39216875853	6930.43539495802	7641.54544458925	7255.5490973549	7426.9686381119	8760.91316859773	6740.61981076853	6785.4459171779	6468.04689321035	6906.09602554897	6977.6738989541	7800.30728488697	5870.28150194001	6804.30400249842	6604.7252040507	6862.45741938956	7073.31344958772	7217.36903086287	6253.57100274102	7394.86592520633	7347.72098828258	6734.92927306616	3874.50615201601	7234.82982159631			20
7	M583T5	1.26061765924389	0.334130777844068	1.61222972012783	0.119226545719377	1	UP	583.256101269249	583.254419967299	583.25673196253	4.99756647666667	4.99665017333333	5.0002832	9	2	7	1232.029296875	485.414334584642	192.354134829867	611.921882227521	221.810384755546	371.750525494625	266.428616949379	430.955264504636	276.559733298424	437.342353937207	467.025117221056	611.330837335289	773.878404476354	604.349972118866	687.252019971461	852.316206444573	322.869668317629	440.453182281461	253.288781834034	564.898934903235	417.269598358835	287.883777462621	430.071768301557	534.492842807802	543.336426007396	634.7377366627	689.927665892514	576.933203711948	556.357845511961	713.315053856979	958.244979019827	1157.37672413681	502.059794551116			39
8	M761T6	1.07735275350226	0.107490703366896	1.51649256738383	0.141560060553337	1	UP	760.586997550827	760.582621299216	760.589666675297	5.70803343333333	5.69873321333333	5.72783325333333	27	14	13	10672.7578125	18066.3096036754	2324.09368507899	19463.788397144	2547.03468055565	20875.7454484329	21688.1876814683	17279.2954214029	15596.8420670976	16831.336648255	19924.4773490582	16971.716004722	20389.3676222438	16813.5434226033	18397.0186480884	18994.370663918	13720.9033408156	19874.3212078844	15571.2089254655	20563.3306365612	21830.6377544146	19993.0549405203	23576.1409774029	20175.5457226378	15564.4740891277	19900.3593048728	14808.2283649601	21457.1339331206	18551.6506272547	18612.58850052	22474.0727426303	17938.3847715806	17047.4351944128	[12][M]+		4
9	M482T5	1.05961988908801	0.0835468284911294	1.48141327783074	0.153109878517369	1	UP	482.404197547549	482.403001553707	482.405852673085	4.80675006333333	4.80639981666667	4.81283345	19	9	10	713.90625	956.248405612758	74.3300478587304	1013.25982949598	123.328098451562	1100.763176839	1075.21221700409	1019.54696964574	931.084374970542	937.464060819599	908.231803402305	859.014112200249	883.703593302518	981.611724407489	944.513300967181	841.963893873116	951.245744225991	982.872539904324	970.250167016472	1027.23157959087	1256.36486190116	1211.91230556832	1122.37023951713	962.114335720294	934.985164542378	858.861093186011	967.605310604576	836.057676948034	949.123864694898	953.922093628885	1123.95376104702	984.227031018811	996.908294975303			30
10	M813T6_2	1.20139503035916	0.264710601196907	1.48817579180093	0.154757994558944	1	UP	812.619922391304	812.618348969007	812.62238982699	5.85286652	5.84321646333333	5.86721681333333	25	11	14	4136.07421875	5735.50454311341	1101.63416779787	6890.60665469882	2687.17717026381	4914.17262671493	5058.05349630795	7046.11785169589	7136.31835896304	6330.90642116348	6173.7023435041	3622.52715149025	4969.67377304666	6342.89806364085	3976.26568065239	5950.37361893309	5441.90654911043	6537.24914838073	6796.89851998398	6073.08492966663	5842.79958430299	10468.0092696086	14538.8415885816	7387.48917946846	4412.95192285049	4803.88107388847	6318.61186710139	7106.1423797699	4955.62360803763	7540.13347286589	5136.69076037707	5368.8924449393	6515.341084325	[24][M]+		18
