row ID,row m/z,row retention time,10102016-04201.CDF Peak height,10102016-06001.CDF Peak height,10102016-02401.CDF Peak height,10102016-07601.CDF Peak height,10102016-00501.CDF Peak height,
1,813.6877975463867,4.879987478256226,3845.990234375,1587.5224609375,3002.0390625,3168.1015625,0,
3,679.5117736816406,3.606553316116333,2883.716796875,2625.185546875,2728.59765625,3245.662109375,5943.23828125,
6,813.6878204345703,4.8481667041778564,1600.3671875,0,908.091796875,0,0,
1034,813.6880340576172,4.906300067901611,0,0,3375.70703125,2754.451171875,0,
29,143.96043904622397,4.922255357106526,796.65869140625,862.02734375,833.99609375,0,0,
7,813.6877975463867,4.926916718482971,1440.0126953125,3168.1015625,1598.7041015625,1415.8603515625,0,
5,340.2610565185547,3.606553316116333,1632.3818359375,1572.1572265625,1489.2021484375,1515.240234375,2316.6171875,
763,143.9603525797526,5.151872316996257,0,871.3994140625,870.1328125,0,1125.2646484375,
32,526.4330810546875,4.808963298797607,769.0458984375,836.06103515625,878.068359375,803.80419921875,2392.5078125,
22,143.96039428710938,5.100116634368897,849.89111328125,897.96240234375,895.029296875,869.37158203125,1151.6943359375,
26,143.96036783854166,5.173822085062663,822.57275390625,856.943359375,0,886.958984375,0,
33,570.4588745117187,4.807523345947265,704.2998046875,696.04736328125,773.353515625,677.515625,2280.166015625,
16,143.96039428710938,5.009873390197754,885.10888671875,922.69189453125,822.1083984375,931.38232421875,1319.37109375,
8,814.6923217773438,4.880991697311401,1316.4560546875,0,0,813.25048828125,0,
25,143.96045684814453,5.387908458709717,837.0634765625,0,0,790.2353515625,0,
34,482.407080078125,4.808243274688721,690.8154296875,715.12744140625,757.34130859375,722.0615234375,1953.00390625,
31,787.6697235107422,4.934133410453796,781.56689453125,710.20458984375,913.56982421875,868.00830078125,0,
39,184.98700103759765,4.993243312835693,579.61181640625,568.0927734375,610.46142578125,503.354736328125,1171.3671875,
9,813.687510172526,4.946677843729655,1137.4150390625,1237.51171875,2885.015625,0,0,
11,813.6877975463867,4.975270867347717,999.31787109375,1053.36328125,1065.4990234375,1210.8349609375,0,
1036,813.6880340576172,5.009708404541016,0,0,749.29052734375,1071.5703125,0,
41,184.9871088663737,4.970455487569173,570.38037109375,0,651.1005859375,521.53662109375,0,
767,184.98693656921387,5.031200051307678,0,579.716796875,627.45361328125,504.48583984375,1033.5712890625,
1035,787.6699523925781,5.00789999961853,0,0,845.87158203125,937.19091796875,0,
49,184.98702812194824,5.2265918254852295,525.65283203125,0,599.71728515625,486.30419921875,974.89892578125,
12,787.6697235107422,4.992416620254517,959.0390625,790.5712890625,1016.1826171875,908.2314453125,0,
38,614.4852478027344,4.808963298797607,586.16650390625,556.35791015625,608.1865234375,539.22119140625,1551.0244140625,
76,143.96039428710938,5.070516681671142,886.951171875,901.12744140625,816.57568359375,874.7919921875,1114.4296875,
768,184.98698806762695,5.1369500160217285,0,575.95556640625,595.2353515625,0,0,
20,143.96036783854166,5.289344469706218,864.64404296875,869.9111328125,0,870.7001953125,0,
55,496.4219970703125,4.852283382415772,488.169677734375,509.665283203125,465.884765625,482.251953125,1462.640625,
30,143.96043395996094,5.204933166503906,796.10595703125,862.2783203125,0,0,0,
769,184.9868392944336,4.891525030136108,0,540.42529296875,0,0,1110.8759765625,
51,540.448095703125,4.851563262939453,509.320556640625,512.7509765625,475.040283203125,480.38427734375,1510.3857421875,
10,813.6877975463867,4.994220733642578,1001.65185546875,963.48291015625,889.82177734375,1110.1787109375,0,
1037,813.6880340576172,5.06927490234375,0,0,686.68212890625,696.8955078125,0,
21,787.6696166992188,4.975138823191325,856.87744140625,863.1103515625,1141.6337890625,0,0,
69,140.9971923828125,5.163790035247803,385.093017578125,400.127685546875,374.039794921875,364.181640625,571.35888671875,
17,143.9604288736979,4.966661135355632,871.12451171875,898.52880859375,0,0,1086.2705078125,
761,143.96031951904297,4.976974964141846,0,898.52880859375,847.50537109375,0,0,
766,184.98692067464194,5.11466105779012,0,592.3896484375,665.35009765625,0,1060.8095703125,
40,184.98700103759765,5.06402006149292,578.39404296875,559.52099609375,633.95751953125,525.4326171875,1033.97265625,
57,438.3801544189453,4.808240032196045,476.724853515625,435.600341796875,496.296142578125,439.408935546875,1033.8642578125,
205,143.9604288736979,5.2264777819315595,796.10595703125,808.31005859375,0,0,1058.9345703125,
86,452.3941650390625,4.8537266731262205,356.87646484375,341.216796875,361.327392578125,344.38818359375,1135.1953125,
24,143.96039428710938,5.1167200088500975,838.12841796875,848.14453125,810.25390625,881.529296875,1128.525390625,
765,143.96029154459634,5.1398054758707685,0,856.943359375,810.25390625,881.529296875,0,
14,340.75860290527345,3.606553316116333,923.4482421875,844.99658203125,840.955078125,855.71728515625,912.046875,
85,143.96045430501303,5.352927843729655,837.0634765625,0,842.74951171875,854.86865234375,0,
60,787.6697235107422,5.061033248901367,458.40625,559.59716796875,599.2626953125,489.187744140625,0,
53,835.6689376831055,4.8781832456588745,499.641357421875,513.89404296875,578.12255859375,538.40087890625,0,
43,184.98707834879556,4.933088938395183,556.55615234375,627.568359375,578.927734375,0,0,
103,453.78611755371094,6.468899965286255,329.53271484375,0,317.994140625,0,0,
42,184.98700103759765,5.184023189544678,564.7470703125,554.52685546875,571.7392578125,527.9140625,1053.3486328125,
36,813.6877975463867,5.042979121208191,611.33984375,626.5439453125,715.79931640625,746.4111328125,0,
